videoId,title,category,comment,commentLikes,crawl_time
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"Stream view cao qua, top 1 giu vung nhaaaa ❤❤❤",0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hay quaix cái beat nó âu mĩ gì đâu nghe tê cả nãoo,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Ác,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Nhạc tẩm đá,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,anh em ghé xem  thì hoan hỉ cho Richie 1Sub 1 like nha . hoan hỉ hoan hỉ ....mình trước nè 1,1,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,cháy vkl,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Gunna,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,đếch nghe thấy chữ gì những vẫn thấy hay =)))),0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,RING RING WHO TF IS THATTTTT 🔥🔥🔥🔥🔥🔥🔥,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,thợ khoan tôi yêu,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,.,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Lý lứ ca ơi 3m r4 r0i :3,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Rap đỉnh quá,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Cay view giu top 1 thoiiiii,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,🤩🤩🤩😍😍😍😍,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"Richie: Obito, m hãy giết con beat của t ngay trên bài nhạc của t đc ko?
Obito: bet",0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,💥,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Hay vãi ò,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Ôi ông xã iuuuu❤❤🎉🎉,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Nhjac này phải hit thôi,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Top1 ❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,bài nhạc quốc tế vãi luôn,6,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hay,2,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Top 1 rồi,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,DÍNH,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Nhớ NGÂN👍,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,ZAZA là cái quần quẹ gì vậy ae,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,a Richie vào beat khớp vchhh ❤‍🔥❤‍🔥 quốc tế quá r,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Pop Smoke vietnam,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Richie w da icy flow 🥶,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hayvcllllllllllll,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Phê ê 😅,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Hay vl,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Peak quá các ngài 🙏 Đẳng cấp 🥇,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,cũng dc,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,cũng dc nghe trôi tai,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"flow của Richie bài này nghe mượt thật sự, ước ra thêm nhiều bài flow như này",0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,hay,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Tìm lại nên văn minh như chưa bao giờ bị thất lạc 🔥❄️,1,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Anh phong à nhạc anh cứu em hết lần này tới lần khác. Cơn anh rất nhiềuuuuu,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,👍👍👍,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,giọng tobi vãi ò thật ~~,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,On top,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Suy ác 😢,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"Respect sự đánh đổi mà bro dành cho âm nhạc, keep it up man",1,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Hay nhé… Top❤🎉🎉🎉,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,bài này mấy bạn trẻ có chơi đồ không sao bay thế =))). Nghe là dính luôn kkk,0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,"Mình luôn luôn dõi theo và ủng hộ rhyder, luc rhyder qua mỹ diễn atsh cũng cố gắng hét to tên rhyder để mong rhyder ngày càng có động lực làm việc và ra nhạc. Chúc rhyder luôn luôn bình an, và dù sau này thế nào, mong rhyder luôn luôn là mình, luôn yêu mẹ và gia đình, luôn đam mê âm nhạc!",0,2025-10-23 06:15:37
hYU4b-UnCQA,Richie D. ICY x Obito - Panorama (Official Music Video),10,Thuộc từ demo r=)),0,2025-10-23 06:15:37
