videoId,title,channelId,channelTitle,category,publishDate,collectDate,collectTime,region,viewCount,likeCount,commentCount,publishTime
R52MV8mK4FQ,"VAN SON 😊 Hài Xuyên Thế Kỷ 75 - BÀ VỢ THỨ 9 CỦA TUI - Vân Sơn, Quang Minh, Hồng Đào, Bảo Liêm",UCtH2Zug6bEpkxLhnoervTQw,Van Son,Entertainment,2025-09-20,12:00:06,2025-09-23,18:12:58,VN,10436,81,5
3DZOyaZVjtg,cười xỉu quang lê song tấu hài kịch với hoài linh | #shorts,UCNqz53FCc3mUg5NyzHxsXGQ,Quang Lê Official,Music,2025-09-20,12:30:03,2025-09-23,18:12:58,VN,28295,212,3
BvGUyOU-WBY,Bình Luận Tiếng Việt:  GEN vs T1 | Lower Round 3 LCK 2025,UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,Gaming,2025-09-21,11:31:58,2025-09-24,00:39:16,VN,3760356,22566,193
4_X8nmUaKxI,Thiên Mệnh Anh Hùng | Video Mở Màn Trận Chung Kết Tổng,UChG2EWuXoW7Tgof35WjbsnQ,LoL Esports VN,Gaming,2025-09-21,09:05:25,2025-09-24,00:39:16,VN,4044,89,3
87OVxohmIVA,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay - Top 20 Nhạc TikTok Hay 2025,UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,People & Blogs,2025-09-21,01:53:01,2025-09-24,00:39:16,VN,48044,591,7
hfHRBOC25uU,NHẠC REMIX TIKTOK HOT TREND 2025 - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 25 Remix Thịnh Hành,UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,Music,2025-09-20,23:00:45,2025-09-24,00:39:16,VN,248615,0,71
G4asipOAx70,Con Trai VS Con Gái Khi Chơi Minecraft Chung Với Nhau 🤣 #shorts,UC11oTbX26gLAK2lAxfwj2OA,Hoàng ACC,Gaming,2025-09-21,01:59:40,2025-09-24,00:39:16,VN,191792,2641,33
zKYLcyYWdaQ,Cổng Nhân Bản NGHÈO VS GIÀU Trong Minecraft,UCPTt4CynO5PnxvK3Nk76E_w,JackVN,Gaming,2025-09-20,11:01:54,2025-09-24,00:39:16,VN,43804,309,7
RIXgGn-DSBA,Bóc giá em gái sang chảnh đi dạo phố và cái kết,UCrfeVZ3yvA55CY7vhJj0H_g,ViệtCG Team,People & Blogs,2025-09-17,08:46:44,2025-09-24,00:39:16,VN,6435,75,1
NWkbFQ3lohM,Cùng Trâm đi dạo cửa hàng cây cảnh ở Hà Lan nha #shortvideo,UCGdPnraIyIxFotiSNOc2Owg,Trâm Hen Ben,People & Blogs,2025-09-18,12:00:57,2025-09-24,00:39:16,VN,191,2,0
R52MV8mK4FQ,"VAN SON 😊 Hài Xuyên Thế Kỷ 75 - BÀ VỢ THỨ 9 CỦA TUI - Vân Sơn, Quang Minh, Hồng Đào, Bảo Liêm",UCtH2Zug6bEpkxLhnoervTQw,Van Son,Entertainment,2025-09-20,12:00:06,2025-09-24,00:39:16,VN,10511,82,5
3DZOyaZVjtg,cười xỉu quang lê song tấu hài kịch với hoài linh | #shorts,UCNqz53FCc3mUg5NyzHxsXGQ,Quang Lê Official,Music,2025-09-20,12:30:03,2025-09-24,00:39:16,VN,28532,218,3
BvGUyOU-WBY,Bình Luận Tiếng Việt:  GEN vs T1 | Lower Round 3 LCK 2025,UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,Gaming,2025-09-21,11:31:58,2025-09-24,06:01:33,VN,3748315,22570,194
